R_off,k_AA,Proton Flux (/s),Substrate Flux (/s)
0.10000000000000002,10.0,2.0256997150885203,-0.04222572878297702
0.12589254117941662,10.0,2.1169055755736434,-0.03884542799154216
0.15848931924611143,10.0,2.202779577359123,-0.0352355542551609
0.1995262314968879,10.0,2.282119742712984,-0.03140305429934004
0.2511886431509577,10.0,2.3537783572806896,-0.02735989251296056
0.3162277660168379,10.0,2.416691039556375,-0.023123348695155015
0.39810717055349776,10.0,2.469903607657374,-0.018716078914107728
0.5011872336272725,10.0,2.5125958712586947,-0.014165892947236601
0.6309573444801929,10.0,2.5441017200259313,-0.009505223311643171
0.7943282347242806,10.0,2.563925111452427,-0.004770290192383906
1.0,10.0,2.571751748989679,-1.5274457613289193e-18
1.2589254117941686,10.0,2.567456367980593,0.004765352409811412
1.5848931924611143,10.0,2.5511056112525283,0.009485482445284424
1.9952623149688788,10.0,2.5229564934724236,0.01412150649801898
2.511886431509577,10.0,2.4834504504641015,0.01863721685930376
3.1622776601683795,10.0,2.433202978548963,0.023000148511453176
3.9810717055349776,10.0,2.3729889185952797,0.027182372211590044
5.011872336272725,10.0,2.303723548709474,0.031160981106827176
6.30957344480193,10.0,2.2264398220569572,0.03491827120954101
7.943282347242821,10.0,2.142262308907752,0.03844164434939406
9.999999999999998,10.0,2.0523786464423037,0.04172328236318381
12.589254117941689,10.0,1.958009528273556,0.04475965203474643
15.848931924611142,10.0,1.8603784381644797,0.04755090227531855
19.95262314968879,10.0,1.7606824153596696,0.05010021013171406
25.118864315095824,10.0,1.6600651117907796,0.05241312287657608
31.622776601683796,10.0,1.5595932609780538,0.054496932070472265
39.81071705534977,10.0,1.4602374393363975,0.056360104036903655
50.11872336272725,10.0,1.3628576919778852,0.058011780983745286
63.0957344480193,10.0,1.2681942548037153,0.05946135875108334
79.43282347242821,10.0,1.176863272081012,0.060718141082626104
100.0,10.0,1.0893571181737212,0.061791066282648396
125.89254117941688,10.0,1.0060487082571405,0.06268849981844872
158.48931924611142,10.0,0.9271990383255695,0.06341808547097566
199.52623149688807,10.0,0.8529671305213381,0.06398664763887615
251.18864315095797,10.0,0.783421567159135,0.06440013802586049
316.2277660168379,10.0,0.7185528608917656,0.06466362091374996
398.1071705534977,10.0,0.6582860115139052,0.06478129233304546
501.1872336272726,10.0,0.6024927243059837,0.06475652953258441
630.9573444801938,10.0,0.5510028952159807,0.06459196810459134
794.3282347242813,10.0,0.5036150926482175,0.06428960485535164
999.9999999999999,10.0,0.4601058760711616,0.06385092495907524
1258.9254117941687,10.0,0.42023788352621017,0.06327705204216352
1584.893192461114,10.0,0.38376669181195616,0.0625689195795301
1995.2623149688807,10.0,0.3504465052049805,0.061727461323372486
2511.88643150958,10.0,0.32003476305267453,0.060753817431661514
3162.2776601683795,10.0,0.29229577620927144,0.059649551556956164
3981.0717055349774,10.0,0.267003510143879,0.0584168724799104
5011.872336272725,10.0,0.24394363163888588,0.05705885206494569
6309.573444801935,10.0,0.22291492907159574,0.0555796295756938
7943.282347242815,10.0,0.20373020571960002,0.05398459096571414
10000.0,10.0,0.18621673333135852,0.052280510940610876
12589.254117941686,10.0,0.17021634092126445,0.05047564565637954
15848.931924611143,10.0,0.15558520253550742,0.04857976511409324
19952.623149688807,10.0,0.1421933783421199,0.04660411676959931
25118.864315095798,10.0,0.12992415618799105,0.04456131558156993
31622.776601683792,10.0,0.11867323573497959,0.042465160465407215
39810.71705534978,10.0,0.10834779411447608,0.040330382502624634
50118.72336272726,10.0,0.0988654701573115,0.038172335713009396
63095.734448019364,10.0,0.09015330295523508,0.03600664608094224
79432.82347242814,10.0,0.08214665906717183,0.03384883820537989
99999.99999999999,10.0,0.07478818048591136,0.03171396091230607
125892.54117941686,10.0,0.06802678213395479,0.029616233151051247
158489.3192461114,10.0,0.06181672304485593,0.027568729493674757
199526.2314968881,10.0,0.05611676967536552,0.025583120850972862
251188.64315095794,10.0,0.05088946338209597,0.023669481115283452
316227.76601683797,10.0,0.046100497520316135,0.021836164973163173
398107.17055349774,10.0,0.04171820344548804,0.020089756750160098
501187.233627273,10.0,0.037713139409326024,0.018435085417755313
630957.3444801937,10.0,0.034057772282755236,0.0168752972104663
794328.2347242812,10.0,0.030726239367646277,0.01541197487590291
1000000.0,10.0,0.027694176259869686,0.014045291430397016
1258925.4117941686,10.0,0.024938596637288375,0.012774186283194981
1584893.1924611116,10.0,0.022437810714261975,0.011596552488273683
1995262.3149688807,10.0,0.02017137063584537,0.010509425404504126
2511886.431509586,10.0,0.01812003299280926,0.009509164914074868
3162277.6601683795,10.0,0.01626573067391514,0.008591625323574425
3981071.7055349774,10.0,0.014591548241758723,0.00775230896432764
5011872.336272718,10.0,0.013081696791318662,0.006986501191114296
6309573.444801937,10.0,0.011721485751184079,0.006289385880006208
7943282.347242836,10.0,0.010497290288031709,0.005656141621708216
10000000.000000002,10.0,0.0093965138813986,0.005082019605440348
12589254.117941689,10.0,0.008407546276667219,0.00456240472101069
15848931.924611123,10.0,0.007519717440021342,0.004092861715928442
19952623.149688806,10.0,0.006723248374705663,0.0036691683765978575
25118864.31509587,10.0,0.006009199756706716,0.0032873377025459333
31622776.60168379,10.0,0.0053694193488371,0.002943630950034307
39810717.055349775,10.0,0.004796489087805106,0.002634563269517032
50118723.362727195,10.0,0.004283672635185434,0.002356903476535029
63095734.44801939,10.0,0.003824864059971922,0.0021076692975698745
79432823.47242837,10.0,0.003414538191763725,0.0018841192352040438
100000000.0,10.0,0.0030477030592062624,0.0016837420100392234
125892541.179417,10.0,0.002719854714076868,0.0015042443659108351
158489319.24611136,10.0,0.0024269346406544418,0.0013435378729364498
199526231.4968881,10.0,0.002165289864076634,0.0011997252307988644
251188643.15095872,10.0,0.0019316358002712654,0.0010710864619989844
316227766.01683795,10.0,0.0017230218329006483,0.0009560652903762491
398107170.55349815,10.0,0.0015367995582405642,0.0008532559222645379
501187233.62727195,10.0,0.0013705936054544557,0.0007613903842906003
630957344.4801942,10.0,0.001222274915685385,0.0006793265210563427
794328234.7242844,10.0,0.0010899363471964883,0.0006060367158820729
1000000000.0000029,10.0,0.0009718704639901226,0.0005405973666795152
1258925411.794171,10.0,0.0008665493606324197,0.00048217912531081723
1584893192.4611251,10.0,0.000772606375279289,0.00043003789110760034
1995262314.968881,10.0,0.0006888195451889532,0.00038350653640106385
2511886431.509586,10.0,0.0006140966635212103,0.0003419873329599785
3162277660.168384,10.0,0.00054746180231499,0.00030494504232174695
3981071705.534988,10.0,0.0004880431736802903,0.0002719006294511798
5011872336.272755,10.0,0.000435062209024653,0.00024242555741664707
6309573444.801974,10.0,0.00038782374423494215,0.00021613662038440394
7943282347.24286,10.0,0.00034570720690693885,0.0001926912728403374
10000000000.0,10.0,0.0003081587097742539,0.00017178341426939188
1e-10,100.0,0.09792521902256678,-0.09686765010410824
1.2589254117941602e-10,100.0,0.09805409115171308,-0.09686748326364476
1.584893192461103e-10,100.0,0.09819868703475351,-0.09686729606551304
1.995262314968867e-10,100.0,0.09836092499467987,-0.09686708602568828
2.51188643150957e-10,100.0,0.09854295735664043,-0.09686685035704513
3.162277660168375e-10,100.0,0.09874719898274842,-0.09686658593237324
